dataset,model,n_estimators,max_depth,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
breast_cancer,RC-Logit,100,3,2,0.9920045688178185,0.03547202637862302,0.8519078350460714,0.9322529628116782,0.48551033642011465,0.0014339926924031902,0.00023309386705307417
breast_cancer,RF-NoCal,100,3,2,0.9901484865790976,0.040204330767498256,0.8321509371826933,0.4356080076147709,0.013426466142676095,0.007695007213725516,2.448394958825712e-05
breast_cancer,CF-Iso,100,5,2,0.9896487721302113,0.03646050077634069,0.8477810532265879,0.9819778012312258,0.29986795864755844,0.0011552475927525572,5.945186692093239e-05
breast_cancer,CF-Logit,100,5,2,0.992575671045117,0.043351459216158614,0.8190119904426479,0.00015536483767653042,0.34097543138862596,0.011836737127633504,0.0027533689789218823
breast_cancer,RC-Iso,100,5,2,0.9815819531696173,0.05517743402114387,0.769639727553931,0.0,0.24409870771224995,0.009058798722983496,0.0020246756801681207
breast_cancer,RC-Logit,100,5,2,0.9941462021701885,0.026231145496639456,0.8904875891680134,0.004064610371857125,0.1875700530505694,0.0005732341927860336,0.00014169039303775572
breast_cancer,RF-NoCal,100,5,2,0.9928612221587664,0.036304900371404054,0.8484306693660443,0.6677750425405893,0.025804649129273504,0.003994804701416917,1.715527022839709e-05
breast_cancer,CF-Iso,100,7,2,0.9933609366076528,0.028424615355813258,0.8813300717276791,0.9501667309155416,0.3111200415567462,0.0008355390257997579,0.0001806972610122959
breast_cancer,CF-Logit,100,7,2,0.991719017704169,0.03807130959275761,0.8410560874069353,0.14678050724584024,0.17617456335226545,0.0058169746533093475,0.0014409761989237926
breast_cancer,RC-Iso,100,7,2,0.9887921187892632,0.03106040680978721,0.8703259058359526,0.0,0.8388194479609643,0.0013531502578097792,0.00011842036915151392
breast_cancer,RC-Logit,100,7,2,0.9912193032552827,0.035625026453115785,0.8512690750263338,0.9281046177492777,0.36989982245055,0.0006640676274646458,8.338591002156594e-05
breast_cancer,RF-NoCal,100,7,2,0.9921473443746431,0.035720171914102435,0.8508718522358267,0.7630918641323525,0.03963101121511158,0.003297862615992014,3.770418169440153e-05
breast_cancer,CF-Iso,200,3,2,0.9911479154768704,0.040442282896187405,0.8311575108270395,0.8944177899356086,0.4799597555900563,0.002876036448873296,7.84104585138133e-05
breast_cancer,CF-Logit,200,3,2,0.9901484865790976,0.03638922699643302,0.8480786141343949,0.7972561832207008,0.6468387423080031,0.0023600787709590885,0.0004092908428392984
breast_cancer,RC-Iso,200,3,2,0.9922901199314678,0.037223755248088,0.8445945420889005,0.9293238921616992,0.3593593649637161,0.0026325617716101567,0.00013891678437632173
