dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
hastie,CF-Logit,3,0.9801726468244935,0.05673038339601548,0.7729993693072879,0.26193991608452194,0.15337413475614706,0.00018204654755914066,2.1217110118738716e-05
hastie,RC-Iso,3,0.9743926328107216,0.06494707617575712,0.7401211419526563,0.0,0.11652703709964728,0.00025687408751681333,2.8668454740120837e-05
hastie,RC-Logit,3,0.97544522180173,0.06459481299644466,0.7415306858176351,0.0023594986241215476,0.8908653716359676,0.0011161569555841488,7.796102102855999e-05
hastie,RF-NoCal,3,0.9801970997894377,0.11156156471681655,0.5535981949037581,0.0,4.0068975532185194e-148,0.053345395446401475,0.00011648910094745457
hastie,CF-Iso,4,0.9855897099531967,0.047069442135177324,0.8116196688345451,0.5360204920478602,0.9784212180119654,0.0004239752248895337,5.0691068768281054e-05
hastie,CF-Logit,4,0.9856868739647141,0.04764267113828447,0.8093255037766961,0.2007223702546187,0.5322046363890877,0.0004517522482283804,7.107771445048464e-05
hastie,RC-Iso,4,0.9805589709953196,0.056064219425358996,0.7756209603769915,0.0,6.286237035939166e-05,0.0007442491484767527,0.00011026324405622882
hastie,RC-Logit,4,0.9806094429189225,0.0568211133535253,0.7725917354196272,0.02263656401534042,0.005161045705627374,0.0006914086685664783,4.6782473571816805e-05
hastie,RF-NoCal,4,0.9855725895209614,0.10813630076640929,0.5672191718167965,0.0,7.33082263400875e-155,0.058253950730482694,4.135662279788185e-05
hastie,CF-Iso,5,0.9858521745044427,0.04788817877340829,0.8084165464055901,0.022231461233994443,0.007663136829162764,0.0005722248265414958,6.846155673063241e-06
hastie,CF-Logit,5,0.9862724641598052,0.05336632147353138,0.7865004592906762,0.0,0.3913027734921787,0.006604717881214375,0.0023301600200930543
hastie,RC-Iso,5,0.9791633235376878,0.0573672626102934,0.7704941266164747,0.0,3.7245753920742433e-06,0.0004837449305990723,1.9446143963777384e-07
hastie,RC-Logit,5,0.9842561406519,0.04934300321139523,0.8025963148298206,0.1591159984124726,0.13535773033989698,0.0001820766757172529,6.799326344954229e-05
hastie,RF-NoCal,5,0.9862995796214415,0.1116223989722774,0.5534387558401608,0.0,1.2594953320969851e-158,0.06247370735208,0.0002357284265998319
hastie,CF-Iso,6,0.9827484970719293,0.05298395497318904,0.7880429844056844,0.44525964733099765,0.39793023213918133,0.0003449514992287263,2.864448788893847e-05
hastie,CF-Logit,6,0.9825462546254627,0.05301744363343595,0.787909016367893,0.19928184554176442,0.8747473619131846,0.00042032822689420474,0.00011394980260161724
hastie,RC-Iso,6,0.9784391772510583,0.05732450404307874,0.7706790517328583,0.0,0.6897548070628976,0.00020517578122578893,8.899166372831045e-07
hastie,RC-Logit,6,0.9827102710271026,0.05229247967569484,0.790809162213442,0.8099151111247069,0.8418460170803963,7.345609978862111e-05,6.963583157874738e-06
hastie,RF-NoCal,6,0.9818341834183418,0.10982688122435758,0.5606485399565654,0.0,1.2425910726513067e-148,0.05515713720853917,0.0006127808582349133
